GB50096-2011,6.1.1,楼梯间、电梯厅等共用部分的外窗，窗外没有阳台或平台，且窗台距楼面、地面的净高小于0.90m时，应设置防护设施。
GB50096-2011,6.1.2,公共出入口台阶高度超过0.70m并侧面临空时，应设置防护设施，防护设施净高不应低于1.05m。
GB50096-2011,6.1.3,外廊、内天井及上人屋面等临空处的栏杆净高，六层及六层以下不应低于1.05m。
GB50096-2011,6.1.3,外廊、内天井及上人屋面等临空处的栏杆净高，七层及七层以上不应低于1.10m。
GB50096-2011,6.1.3,外廊、内天井及上人屋面等临空处的防护栏杆必须采用防止儿童攀登的构造。
GB50096-2011,6.1.3,外廊、内天井及上人屋面等临空处的栏杆的垂直杆件间净距不应大于0.11m。
GB50096-2011,6.1.3,外廊、内天井及上人屋面等临空处的栏杆，放置花盆处必须采取防坠落措施。
GB50096-2011,6.1.4,公共出入口台阶踏步宽度不宜小于0.30m。
GB50096-2011,6.1.4,公共出入口台阶踏步高度不宜大于0.15m，并不宜小于0.10m，踏步高度应均匀一致，并应采取防滑措施。
GB50096-2011,6.1.4,公共出入口台阶踏步数不应少于2级，当高差不足2级时，应按坡道设置。
GB50096-2011,6.1.4,公共出入口台阶宽度大于1.80m时，两侧宜设置栏杆扶手，高度应为0.90m
GB50096-2011,6.2.1,十层以下的住宅建筑，当住宅单元任一层的建筑面积大于650m2，该住宅单元每层的安全出口不应少于2个。
GB50096-2011,6.2.1,十层以下的住宅建筑，当住宅单元任一套房的户门至安全出口的距离大于15m时，该住宅单元每层的安全出口不应少于2个。
GB50096-2011,6.2.2,十层及十层以上且不超过十八层的住宅建筑，当住宅单元任一层的建筑面积大于650m2，该住宅单元每层的安全出口不应少于2个。
GB50096-2011,6.2.2,十层及十层以上且不超过十八层的住宅建筑，当住宅单元任一套房的户门至安全出口的距离大于10m时，该住宅单元每层的安全出口不应少于2个。
GB50096-2011,6.2.3,十九层及十九层以上的住宅建筑，每层住宅单元的安全出口不应少于2个。
GB50096-2011,6.2.4,安全出口应分散布置，两个安全出口的距离不应小于5m。
GB50096-2011,6.2.5,楼梯间及前室的门应向疏散方向开启。
GB50096-2011,6.2.6,十层以下的住宅建筑的楼梯间宜通至屋顶，且不应穿越其他房间。
GB50096-2011,6.2.6,通向平屋面的门应向屋面方向开启。
GB50096-2011,6.3.1,楼梯梯段净宽不应小于1.10m。
GB50096-2011,6.3.1,不超过六层的住宅，一边设有栏杆的梯段净宽不应小于1.00m。
GB50096-2011,6.3.2,楼梯踏步宽度不应小于0.26m。
GB50096-2011,6.3.2,楼梯踏步高度不应大于0.175m。
GB50096-2011,6.3.2,楼梯扶手高度不应小于0.90m。
GB50096-2011,6.3.2,楼梯水平段栏杆长度大于0.50m时，其扶手高度不应小于1.05m。
GB50096-2011,6.3.2,楼梯栏杆垂直杆件间净空不应大于0.11m。
GB50096-2011,6.3.3,楼梯平台净宽不应小于楼梯梯段净宽。
GB50096-2011,6.3.3,楼梯平台净宽不得小于1.20m
GB50096-2011,6.3.3,楼梯平台的结构下缘至人行通道的垂直高度不应低于2.00m。
GB50096-2011,6.3.3,入口处地坪与室外地面应有高差，并不应小于0.10m。
GB50096-2011,6.3.4,楼梯为剪刀梯时，楼梯平台的净宽不得小于1.30m。
GB50096-2011,6.3.5,楼梯井净宽大于0.11m时，必须采取防止儿童攀滑的措施。
GB50096-2011,6.4.1,七层及七层以上住宅必须设置电梯。
GB50096-2011,6.4.1,住户入口层楼面距室外设计地面的高度超过16m时，必须设置电梯。
GB50096-2011,6.4.1,底层作为商店或其他用房的六层及六层以下住宅，其住户入口层楼面距该建筑物的室外设计地面高度超过16m时，必须设置电梯。
GB50096-2011,6.4.1,底层做架空层或贮存空间的六层及六层以下住宅，其住户入口层楼面距该建筑物的室外设计地面高度超过16m时，必须设置电梯。
GB50096-2011,6.4.1,顶层为两层一套的跃层住宅时，跃层部分不计层数，其顶层住户入口层楼面距该建筑物室外设计地面的高度超过16m时，必须设置电梯。
GB50096-2011,6.4.7,电梯不应紧邻卧室布置。
GB50096-2011,6.4.7,当受条件限制，电梯不得不紧邻兼起居的卧室布置时，应采取隔声、减振的构造措施。
GB50096-2011,6.5.1,住宅中作为主要通道的外廊宜作封闭外廊，并应设置可开启的窗扇。
GB50096-2011,6.5.1,走廊通道的净宽不应小于1.20m，局部净高不应低于2.00m。
GB50096-2011,6.5.2,位于阳台、外廊及开敞楼梯平台下部的公共出入口，应采取防止物体坠落伤人的安全措施。
GB50096-2011,6.5.3,公共出入口处应有标识，十层及十层以上住宅的公共出入口应设门厅。
GB50096-2011,6.6.1,七层及七层以上的住宅，建筑入口应进行无障碍设计。
GB50096-2011,6.6.1,七层及七层以上的住宅，入口平台应进行无障碍设计。
GB50096-2011,6.6.1,七层及七层以上的住宅，候梯厅应进行无障碍设计。
GB50096-2011,6.6.1,七层及七层以上的住宅，公共走道应进行无障碍设计。
GB50096-2011,6.6.3,七层及七层以上住宅建筑入口平台宽度不应小于2.00m。
GB50096-2011,6.6.3,七层以下住宅建筑入口平台宽度不应小于1.50m。
GB50096-2011,6.6.4,新建住宅应每套配套设置信报箱。
GB50096-2011,6.9.1,卧室、起居室（厅）、厨房不应布置在地下室。
GB50096-2011,6.9.1,卧室、起居室（厅）、厨房，当布置在半地下室时，必须对采光、通风、日照、防潮、排水及安全防护采取措施，并不得降低各项指标要求
GB50096-2011,6.9.3,住宅的地下室、半地下室做自行车库和设备用房时，其净高不应低于2.00m。
GB50096-2011,6.9.4,当住宅的地上架空层及半地下室做机动车停车位时，其净高不应低于2.20m。
GB50096-2011,6.9.5,地上住宅楼、电梯间宜与地下车库连通，并宜采取安全防盗措施。
GB50096-2011,6.9.6,直通住宅单元的地下楼、电梯间入口处应设置乙级防火门。
GB50096-2011,6.9.6,严禁利用楼、电梯间为地下车库进行自然通风
GB50096-2011,6.10.1,住宅建筑内严禁布置存放和使用甲、乙类火灾危险性物品的商店、车间和仓库，以及产生噪声、振动和污染环境卫生的商店、车间和娱乐设施。
GB50096-2011,6.10.4,住户的公共出入口与附建公共用房的出入口应分开布置。
GB50096-2011,7.1.1,每套住宅应至少有一个居住空间能获得冬季日照。
GB50096-2011,7.1.2,需要获得冬季日照的居住空间的窗洞开口宽度不应小于0.60m。
GB50096-2011,7.1.3,卧室、起居室（厅）、厨房应有直接天然采光。
GB50096-2011,7.1.4,卧室、起居室（厅）、厨房的采光系数不应低于1％。
GB50096-2011,7.1.4,当楼梯间设置采光窗时，采光系数不应低于0.5％
